category,source_name,author,title,description,url,publishedAt,fetchedAt,neg,neu,pos,compound,sentiment_label
east_africa,Al Jazeera English,Christopher Hopkins,‘I have fought for Aaron’: A Ugandan mother confronts disability and stigma,"Martha Apolot, 21, rejected by her family and community when her disabled son was born, fights daily to meet his needs.",https://www.aljazeera.com/features/longform/2026/3/21/i-have-fought-for-aaron-a-ugandan-mother-confronts-disability-and-stigma,2026-03-21 09:42:23+00:00,2026-03-22 10:18:13.892424,0.296,0.704,0.0,-0.4939,negative
east_africa,The Punch,Punch Newspapers,"US expands visa bond to 50 countries, targets overstays with $15,000","The US is expanding its $15,000 visa bond program to 50 countries to curb overstays. Discover the affected nations and how the policy works.

Read More: https://punchng.com/us-expands-visa-bond-to-50-countries-targets-overstays-with-15000/",https://punchng.com/us-expands-visa-bond-to-50-countries-targets-overstays-with-15000/,2026-03-21 09:05:35+00:00,2026-03-22 10:18:13.892424,0.0,0.877,0.123,0.1027,positive
east_africa,The Times of India,Reuters,"In Africa, the cost of jet fuel is changing faster than you can fly","A war in the Middle East has disrupted jet fuel supplies, sending prices sky-high. African airlines are hit hardest, facing significant cost increases and potential shortages. Consumers can expect higher fares and surcharges. This global fuel crisis impacts f…",https://economictimes.indiatimes.com/news/international/business/in-africa-the-cost-of-jet-fuel-is-changing-faster-than-you-can-fly/articleshow/129716002.cms,2026-03-21 08:57:47+00:00,2026-03-22 10:18:13.892424,0.0,1.0,0.0,0.0,neutral
east_africa,The Times of India,AP,US to set up 12 regional disaster response hubs as it consolidates emergency humanitarian aid,"The State Department is creating twelve regional hubs to manage disaster and emergency aid. This initiative operates under a new Bureau of Disaster and Humanitarian Response. These hubs will be located across Latin America, Asia, Europe, and Africa. This move…",https://economictimes.indiatimes.com/news/international/global-trends/us-to-set-up-12-regional-disaster-response-hubs-as-it-consolidates-emergency-humanitarian-aid/articleshow/129715664.cms,2026-03-21 08:27:52+00:00,2026-03-22 10:18:13.892424,0.34,0.66,0.0,-0.7717,negative
east_africa,RT,RT,"Rhinos return to East African park for first time in over 40 years (PHOTOS, VIDEO)",Uganda has moved the first rhinos to Kidepo Valley National Park in 43 years as part of a plan to restore populations lost to poaching in the 1980s,https://www.rt.com/africa/635653-rhinos-return-to-uganda-park/,2026-03-21 08:04:14+00:00,2026-03-22 10:18:13.892424,0.0,1.0,0.0,0.0,neutral
east_africa,Christiantoday.com,Obianuju Mbah,"In many countries, people see others as morally good - but not in the US","Across 25 countries, people tend to see their fellow citizens as more morally good than bad, but there are sharp differences between nations and continuing divisions over issues such as abortion, homosexuality, gambling and divorce.",https://www.christiantoday.com/news/in-many-countries-people-see-others-as-morally-good-but-not-in-the-us,2026-03-21 07:07:00+00:00,2026-03-22 10:18:13.892424,0.0,0.878,0.122,0.2382,positive
east_africa,The Punch,Punch Newspapers,"JUST IN: Dangote hikes petrol price fifth time in March to N1,275/litre","The Dangote petrol price has been hiked for the fifth time in March, reaching N1,275 per litre. This marks a cumulative 64.7% price surge this month.

Read More: https://punchng.com/just-in-dangote-hikes-petrol-price-fifth-time-in-march-to-n1275-litre/",https://punchng.com/just-in-dangote-hikes-petrol-price-fifth-time-in-march-to-n1275-litre/,2026-03-21 06:39:51+00:00,2026-03-22 10:18:13.892424,0.0,1.0,0.0,0.0,neutral
east_africa,Abcnews.com,MONIKA PRONCZUK Associated Press,Secretive deal leaves deportees from the US stuck in Equatorial Guinea with 'no more hope',"Accounts are emerging from people deported from the U.S. to the African petrostate of Equatorial Guinea in a multi-million-dollar, third-country deal with the Trump administration",https://abcnews.com/US/wireStory/secretive-deal-leaves-deportees-us-stuck-equatorial-guinea-131278360,2026-03-21 05:59:50+00:00,2026-03-22 10:18:13.892424,0.11,0.715,0.176,0.2944,positive
east_africa,The Punch,Punch Newspapers,Cricket: Nigeria cruise past Zimbabwe as Rwanda breaks T20i record,"Nigeria’s women’s cricket team secures a dominant 8-wicket victory over Zimbabwe U-19, while Rwanda’s Fanny Uwagushimaninde sets a new T20i record.

Read More: https://punchng.com/cricket-nigeria-cruise-past-zimbabwe-as-rwanda-breaks-t20i-record/",https://punchng.com/cricket-nigeria-cruise-past-zimbabwe-as-rwanda-breaks-t20i-record/,2026-03-21 00:09:33+00:00,2026-03-22 10:18:13.892424,0.0,1.0,0.0,0.0,neutral
east_africa,Sky.com,Yousra Elbagir,Army chief was asked about woman 'murdered by British soldier' - his response was emphatic,"It took 13 years for an arrest warrant to be issued for the former British soldier charged over the murder of Agnes Wanjiru in Kenya. Now, a senior army leader has a message for her family.",https://news.sky.com/story/army-chief-was-asked-about-woman-murdered-by-british-soldier-his-response-was-emphatic-13522292,2026-03-21 00:01:00+00:00,2026-03-22 10:18:13.892424,0.239,0.761,0.0,-0.6597,negative
east_africa,The Punch,Punch Newspapers,"I left gospel music because it wasn’t profitable — Producer, Ozedikus","Producer Ozedikus Nwanne shares his journey, from leaving unprofitable gospel music to producing for stars like Rema and navigating the Afrobeats scene.

Read More: https://punchng.com/i-left-gospel-music-because-it-wasnt-profitable-producer-ozedikus/",https://punchng.com/i-left-gospel-music-because-it-wasnt-profitable-producer-ozedikus/,2026-03-20 23:50:04+00:00,2026-03-22 10:18:13.892424,0.0,0.775,0.225,0.4404,positive
east_africa,Bleeding Cool News,Ray Flook,RuPaul's Drag Race Season 18 Ep. 12 Preview: Cowboy Make-Over Time!,"If you didn't get a chance to check out our review of last week's round of MTV's RuPaul's Drag Race Season 18, go check it out and then come back. Welcome back! Now that you're up to speed, you know that Kenya Pleaser lost the lip sync challenge (to the tune …",https://bleedingcool.com/tv/rupauls-drag-race-season-18-ep-12-preview-cowboy-make-over-time/,2026-03-20 22:37:07+00:00,2026-03-22 10:18:13.892424,0.18,0.82,0.0,-0.2942,negative
east_africa,NPR,Fatma Tanis,How the Iran war threatens global food supply,About a third of all fertilizer shipped globally passes through the Strait of Hormuz.  Now shipping is all-but stopped through the Strait and this could have repercussions for the global food supply.,https://www.npr.org/2026/03/20/nx-s1-5750812/how-the-iran-war-threatens-global-food-supply,2026-03-20 19:35:21+00:00,2026-03-22 10:18:13.892424,0.52,0.48,0.0,-0.7579,negative
east_africa,Finovate.com,David Penn,"Finovate Global Canada: Mortgagetech, Real-Time Payments, and Top Investment Trends",This week’s edition of Finovate Global showcases recent fintech news from Canada. Royal Bank of Canada acquires mortgagetech Pinch Financial The Royal Bank of Canada (RBC) has acquired Toronto-based mortgagetech Pinch Financial. Terms of the transaction were …,https://finovate.com/finovate-global-canada-mortgagetech-real-time-payments-and-top-investment-trends/,2026-03-20 18:46:39+00:00,2026-03-22 10:18:13.892424,0.0,0.833,0.167,0.2023,positive
east_africa,New York Post,Associated Press,Uganda reintroduces rhinos into a protected area after they were poached to near-exctinction,Ugandan wildlife authorities have reintroduced rhinos into a remote protected area where they were once poached into extinction.,https://nypost.com/2026/03/20/world-news/uganda-reintroduces-rhinos-into-a-protected-area-after-they-were-poached-to-near-exctinction/,2026-03-20 18:18:57+00:00,2026-03-22 10:18:13.892424,0.0,0.805,0.195,0.4404,positive
